REGION TYPE,REGION,YEAR,WEEK,TOTAL SPECIMENS,A (2009 H1N1),A (H3),A (Subtyping not Performed),B,BVic,BYam,H3N2v
Census Regions,New England,2016,16,133,26,13,0,25,3,1,0
Census Regions,Mid-Atlantic,2016,16,170,27,9,5,27,14,11,0
Census Regions,East North Central,2016,16,168,33,6,0,2,12,11,0
Census Regions,West North Central,2016,16,174,23,2,4,1,6,28,0
Census Regions,South Atlantic,2016,16,370,62,18,5,41,27,44,0
Census Regions,East South Central,2016,16,57,7,0,0,9,3,1,0
Census Regions,West South Central,2016,16,97,11,10,0,14,2,5,0
Census Regions,Mountain,2016,16,177,25,30,0,3,11,37,0
Census Regions,Pacific,2016,16,470,62,39,2,36,8,25,0
Census Regions,New England,2016,17,93,20,13,0,11,3,3,0
Census Regions,Mid-Atlantic,2016,17,122,12,19,0,9,11,18,0
Census Regions,East North Central,2016,17,153,14,12,0,0,15,11,0
Census Regions,West North Central,2016,17,132,19,2,1,1,6,10,0
Census Regions,South Atlantic,2016,17,312,38,6,2,29,25,24,0
Census Regions,East South Central,2016,17,45,5,2,0,7,3,0,0
Census Regions,West South Central,2016,17,90,4,8,0,8,0,3,0
Census Regions,Mountain,2016,17,151,17,18,0,3,6,39,0
Census Regions,Pacific,2016,17,393,38,18,2,26,9,11,0
Census Regions,New England,2016,18,42,8,10,0,5,1,5,0
Census Regions,Mid-Atlantic,2016,18,109,3,10,1,20,17,8,0
Census Regions,East North Central,2016,18,116,4,6,0,1,5,4,0
Census Regions,West North Central,2016,18,131,9,1,1,1,4,12,0
Census Regions,South Atlantic,2016,18,237,18,10,0,15,13,19,0
Census Regions,East South Central,2016,18,42,1,0,0,6,0,3,0
Census Regions,West South Central,2016,18,76,0,4,0,5,0,4,0
Census Regions,Mountain,2016,18,89,11,10,0,2,7,18,0
Census Regions,Pacific,2016,18,283,23,8,0,25,6,9,0
Census Regions,New England,2016,19,17,2,3,0,2,0,1,0
Census Regions,Mid-Atlantic,2016,19,66,3,2,0,8,4,9,0
Census Regions,East North Central,2016,19,106,3,5,0,0,8,4,0
Census Regions,West North Central,2016,19,87,5,4,0,0,1,11,0
Census Regions,South Atlantic,2016,19,227,7,29,2,15,15,10,0
Census Regions,East South Central,2016,19,39,5,0,0,2,1,0,0
Census Regions,West South Central,2016,19,53,2,2,0,8,1,2,0
Census Regions,Mountain,2016,19,106,3,13,0,0,4,15,0
Census Regions,Pacific,2016,19,318,23,4,0,18,2,19,0
