REGION TYPE,REGION,YEAR,WEEK,TOTAL SPECIMENS,PERCENT POSITIVE,A (2009 H1N1),A (H1),A (H3),A (Subtyping not Performed),A (Unable to Subtype),B,H3N2v
HHS Regions,Region 3,2013,52,1148,32.1429,363,0,4,1,0,1,0
HHS Regions,Region 4,2013,52,3192,23.7469,202,0,0,500,0,56,0
HHS Regions,Region 5,2013,52,1012,35.7708,276,0,5,80,0,1,0
HHS Regions,Region 6,2013,52,3788,30.7286,312,0,1,831,0,20,0
HHS Regions,Region 7,2013,52,487,27.5154,129,0,0,5,0,0,0
HHS Regions,Region 8,2013,52,2515,36.9781,748,0,8,170,0,4,0
HHS Regions,Region 9,2013,52,1162,30.2926,285,0,12,52,0,3,0
HHS Regions,Region 10,2013,52,826,48.3051,378,0,9,10,0,2,0
HHS Regions,Region 1,2014,1,500,32.2,132,0,9,17,0,3,0
HHS Regions,Region 2,2014,1,1367,21.5069,183,0,2,106,0,3,0
HHS Regions,Region 3,2014,1,1437,28.9492,381,0,9,23,0,3,0
HHS Regions,Region 4,2014,1,3168,19.0657,180,0,2,378,0,44,0
HHS Regions,Region 5,2014,1,1410,40.5674,456,0,8,107,0,1,0
HHS Regions,Region 6,2014,1,3694,28.235,430,0,8,584,0,21,0
HHS Regions,Region 7,2014,1,663,28.5068,177,0,4,8,0,0,0
HHS Regions,Region 8,2014,1,3095,31.9225,799,0,11,177,0,1,0
HHS Regions,Region 9,2014,1,1572,33.8422,397,0,20,105,0,10,0
HHS Regions,Region 10,2014,1,873,44.4444,342,0,11,33,0,2,0
HHS Regions,Region 1,2014,2,670,39.403,207,0,16,38,0,3,0
HHS Regions,Region 2,2014,2,1585,20.8833,212,0,5,114,0,0,0
HHS Regions,Region 3,2014,2,1572,31.4885,444,0,11,39,0,1,0
HHS Regions,Region 4,2014,2,3130,18.9776,257,0,1,285,0,51,0
HHS Regions,Region 5,2014,2,1524,37.664,468,0,13,93,0,0,0
HHS Regions,Region 6,2014,2,3424,24.8832,405,0,14,412,0,21,0
HHS Regions,Region 7,2014,2,643,31.1042,194,0,2,4,0,0,0
HHS Regions,Region 8,2014,2,2885,24.6794,544,0,10,158,0,0,0
HHS Regions,Region 9,2014,2,1862,37.0569,493,0,26,157,0,14,0
HHS Regions,Region 10,2014,2,958,36.0125,320,0,8,16,0,1,0
HHS Regions,Region 1,2014,3,764,38.7435,244,0,18,31,0,3,0
HHS Regions,Region 2,2014,3,1517,23.8629,209,0,6,145,0,2,0
