REGION TYPE,REGION,YEAR,WEEK,% WEIGHTED ILI,%UNWEIGHTED ILI,AGE 0-4,AGE 25-49,AGE 25-64,AGE 5-24,AGE 50-64,AGE 65,ILITOTAL,NUM. OF PROVIDERS,TOTAL PATIENTS
HHS Regions,Region 6,2014,16,2.61257,2.46615,563,565,,812,173,82,2195,217,89005
HHS Regions,Region 7,2014,16,0.623494,0.359968,46,41,,54,14,12,167,77,46393
HHS Regions,Region 8,2014,16,0.795865,0.879096,99,106,,209,34,14,462,111,52554
HHS Regions,Region 9,2014,16,1.81881,1.58537,192,211,,471,135,114,1123,210,70835
HHS Regions,Region 10,2014,16,0.764785,0.88581,29,22,,42,6,2,101,39,11402
HHS Regions,Region 1,2014,17,1.55579,1.39936,145,108,,277,59,40,629,151,44949
HHS Regions,Region 2,2014,17,2.26093,1.96921,790,535,,748,233,124,2430,241,123400
HHS Regions,Region 3,2014,17,1.22479,1.27901,312,408,,435,145,84,1384,207,108209
HHS Regions,Region 4,2014,17,0.830922,0.784769,247,168,,416,85,51,967,282,123221
HHS Regions,Region 5,2014,17,1.21509,1.47101,512,328,,453,145,103,1541,263,104758
